artist;title;Duracion;Milisegundos;Reproducciones;First stream;Last stream;Skips;Skip %;Meses
Taylor Swift;Holy Ground (Taylor's Version);1:49:53;6593766;33;02/12/2022;16/11/2023;8;0.1951219512195122;{12: 405920, 1: 202960, 3: 811840, 4: 608880, 5: 479944, 6: 608880, 7: 405920, 8: 1821390, 9: 436192, 10: 202960, 11: 608880}
Taylor Swift;Mastermind;1:49:19;6559528;37;01/12/2022;29/11/2023;10;0.2127659574468085;{12: 764156, 2: 191039, 3: 707077, 4: 764156, 5: 382078, 6: 573117, 7: 191039, 8: 1063877, 9: 603452, 10: 573117, 11: 746420}
Taylor Swift;State Of Grace (Taylor's Version);1:48:20;6500248;29;02/12/2022;24/11/2023;9;0.23684210526315788;{12: 322633, 2: 590826, 3: 1584010, 4: 590826, 6: 446495, 7: 295413, 8: 1364979, 9: 714240, 11: 590826}
Taylor Swift;The Great War;1:47:53;6473749;29;04/12/2022;30/11/2023;11;0.275;{12: 336749, 3: 721065, 4: 721065, 5: 480710, 6: 1201775, 8: 721065, 9: 690050, 10: 159140, 11: 1442130}
Taylor Swift;Better Than Revenge;1:47:47;6467406;33;11/12/2022;21/07/2023;6;0.15384615384615385;{12: 434346, 1: 217173, 2: 332351, 3: 1685919, 4: 650149, 5: 743529, 6: 1830192, 7: 573747}
Niall Horan;Heaven;1:47:06;6426973;36;17/02/2023;23/11/2023;8;0.18181818181818182;{2: 1858737, 3: 1787889, 4: 186043, 5: 372086, 6: 1116258, 9: 22519, 10: 711355, 11: 372086}
Taylor Swift;Starlight (Taylor's Version);1:45:27;6327432;29;21/03/2023;30/11/2023;1;0.03333333333333333;{3: 440826, 4: 327683, 6: 2359228, 7: 220413, 8: 440826, 9: 881652, 11: 1656804}
Taylor Swift;Speak Now;1:45:08;6308729;27;03/12/2022;29/06/2023;5;0.15625;{12: 481546, 1: 48631, 2: 240773, 3: 2648503, 4: 481546, 5: 722319, 6: 1685411}
Taylor Swift;Picture To Burn;1:45:08;6308472;40;23/01/2023;27/11/2023;9;0.1836734693877551;{1: 896, 3: 894390, 4: 350560, 5: 525840, 6: 1397829, 7: 341471, 8: 698906, 9: 350560, 10: 876400, 11: 871620}
Taylor Swift;Dear John (Taylor's Version);1:44:37;6277899;19;07/07/2023;30/11/2023;6;0.24;{7: 1834115, 8: 398400, 9: 1821794, 10: 1623624, 11: 599966}
Taylor Swift;Question...?;1:43:51;6231864;30;10/12/2022;30/11/2023;9;0.23076923076923078;{12: 421112, 2: 210556, 3: 842224, 4: 757408, 6: 1052780, 8: 631668, 9: 1263336, 11: 1052780}
Taylor Swift;Teardrops On My Guitar - Radio Single Remix;1:43:40;6220051;33;04/12/2022;23/11/2023;16;0.32653061224489793;{12: 203040, 1: 203040, 3: 815492, 4: 409412, 5: 407746, 6: 1250256, 7: 812160, 8: 907752, 9: 544345, 10: 52690, 11: 614118}
Taylor Swift;Cold As You;1:43:36;6216378;28;23/01/2023;30/11/2023;12;0.3;{1: 1951, 3: 478026, 4: 814447, 5: 239013, 6: 956052, 7: 239013, 8: 1195065, 9: 956052, 10: 141694, 11: 1195065}
Taylor Swift;Better Man (Taylor's Version) (From The Vault);1:42:40;6160049;24;25/03/2023;30/11/2023;8;0.25;{3: 297013, 4: 594026, 6: 1485065, 7: 215021, 8: 1188052, 9: 410868, 10: 187965, 11: 1782039}
